epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,18.084192276000977,18.58274269104004,460.5976867675781,35.12836837768555,35.62836837768555,1352.7515869140625
1,18.222251892089844,18.716285705566406,464.7397155761719,35.118778228759766,35.618778228759766,1352.051025390625
2,18.001182556152344,18.501182556152344,442.4653625488281,35.10764694213867,35.60764694213867,1351.2193603515625
3,17.936250686645508,18.436250686645508,440.970458984375,35.10277557373047,35.60277557373047,1350.858154296875
4,18.13138198852539,18.631065368652344,451.2075500488281,35.094215393066406,35.594215393066406,1350.253662109375
5,17.985013961791992,18.485013961791992,447.4579772949219,35.087188720703125,35.587188720703125,1349.745849609375
6,17.9798583984375,18.47977638244629,441.94317626953125,35.082740783691406,35.582740783691406,1349.4298095703125
7,18.16200828552246,18.66200828552246,451.6312561035156,35.075828552246094,35.575828552246094,1348.9320068359375
8,18.041244506835938,18.534442901611328,459.7113952636719,35.070796966552734,35.570796966552734,1348.576171875
9,17.841299057006836,18.33445930480957,449.9288330078125,35.06509780883789,35.56509780883789,1348.2008056640625
10,18.081722259521484,18.581377029418945,449.2467956542969,35.05864334106445,35.55864334106445,1347.773193359375
11,17.98074722290039,18.472204208374023,446.8400573730469,35.055259704589844,35.555259704589844,1347.586669921875
12,18.042259216308594,18.532852172851562,449.9725036621094,35.05224609375,35.55224609375,1347.433349609375
13,18.055540084838867,18.55356788635254,456.7149963378906,35.04932403564453,35.54932403564453,1347.260498046875
14,18.123741149902344,18.623741149902344,457.4652404785156,35.04661560058594,35.54661560058594,1347.116455078125
15,18.18003273010254,18.679887771606445,458.7685852050781,35.04179763793945,35.54179763793945,1346.830322265625
16,17.934532165527344,18.434532165527344,445.6852111816406,35.039207458496094,35.539207458496094,1346.7152099609375
17,17.954423904418945,18.454423904418945,449.3475341796875,35.03418731689453,35.53418731689453,1346.4132080078125
18,17.991626739501953,18.491626739501953,444.9952392578125,35.03150177001953,35.53150177001953,1346.2603759765625
19,18.22702407836914,18.72702407836914,446.83746337890625,35.033164978027344,35.533164978027344,1346.4024658203125
20,18.16572380065918,18.66572380065918,457.9539794921875,35.03154373168945,35.53154373168945,1346.289794921875
21,17.93895149230957,18.43895149230957,456.4902648925781,35.028961181640625,35.528961181640625,1346.11669921875
22,17.94809341430664,18.44447135925293,439.4339599609375,35.026004791259766,35.526004791259766,1345.9224853515625
23,17.884187698364258,18.384187698364258,443.43170166015625,35.023799896240234,35.523799896240234,1345.779052734375
24,18.166711807250977,18.666711807250977,464.7089538574219,35.0195198059082,35.5195198059082,1345.4891357421875
25,17.86458969116211,18.36458969116211,446.079833984375,35.01708984375,35.51708984375,1345.323486328125
26,17.998395919799805,18.498395919799805,461.5966491699219,35.01958465576172,35.51958465576172,1345.5499267578125
27,17.773334503173828,18.273334503173828,431.78045654296875,35.016937255859375,35.516937255859375,1345.390380859375
28,17.85068702697754,18.35068702697754,435.5618591308594,35.014652252197266,35.514652252197266,1345.2515869140625
29,18.061111450195312,18.561111450195312,448.0453186035156,35.01466751098633,35.51466751098633,1345.2908935546875
30,18.10210418701172,18.60210418701172,450.4853210449219,35.01226806640625,35.51226806640625,1345.160888671875
31,17.95539665222168,18.45539665222168,442.62310791015625,35.01387405395508,35.51387405395508,1345.3240966796875
32,17.984649658203125,18.484649658203125,439.86468505859375,35.01622772216797,35.51622772216797,1345.546630859375
33,17.918447494506836,18.418447494506836,444.9151916503906,35.02043151855469,35.52043151855469,1345.916259765625
34,17.727285385131836,18.227285385131836,436.5507507324219,35.02318572998047,35.52318572998047,1346.1820068359375
35,18.012842178344727,18.51279640197754,448.872802734375,35.02178192138672,35.52178192138672,1346.1358642578125
36,17.874984741210938,18.374984741210938,450.0954284667969,35.02168655395508,35.52168655395508,1346.18115234375
37,18.018348693847656,18.518348693847656,451.2086181640625,35.021827697753906,35.521827697753906,1346.237060546875
38,18.000558853149414,18.49380111694336,452.99322509765625,35.02165603637695,35.52165603637695,1346.281005859375
39,17.759824752807617,18.259824752807617,446.8446960449219,35.02191925048828,35.52191925048828,1346.3658447265625
40,18.150060653686523,18.650060653686523,445.914306640625,35.02275848388672,35.52275848388672,1346.4853515625
41,17.87269401550293,18.37269401550293,443.1025695800781,35.02766036987305,35.52766036987305,1346.903564453125
42,18.02606201171875,18.52606201171875,447.8039855957031,35.03052520751953,35.53052520751953,1347.1634521484375
43,17.812320709228516,18.312320709228516,430.0574951171875,35.03326416015625,35.53326416015625,1347.40673828125
44,17.881553649902344,18.381553649902344,447.4169616699219,35.035762786865234,35.535762786865234,1347.6441650390625
45,17.875783920288086,18.375783920288086,440.16900634765625,35.036277770996094,35.536277770996094,1347.7230224609375
46,17.767274856567383,18.267112731933594,439.1896057128906,35.0394172668457,35.5394172668457,1348.010009765625
47,17.882434844970703,18.382434844970703,441.74041748046875,35.037288665771484,35.537288665771484,1347.899658203125
48,17.909433364868164,18.409433364868164,444.1015625,35.03833770751953,35.53833770751953,1348.0283203125
49,18.072851181030273,18.572851181030273,449.1656494140625,35.038673400878906,35.538673400878906,1348.0858154296875
50,17.972192764282227,18.472192764282227,454.3587951660156,35.04201126098633,35.54201126098633,1348.34716796875
